;ARTICLE_TITLE
1261;Multi-resolution Social Network Community Identification and Maintenance on Big Data Platform
1262;Redundancy and Aging of Efficient Multidimensional MDS Parity-Protected Distributed Storage Systems
1263;Advancing biomarker research: utilizing 'Big Data' approaches for the characterization and prevention of bipolar disorder
1264;Evaluation of Data Management Systems for Geospatial Big Data
1265;Research of Big Data Processing Platform
1266;Big data and web analytics. Studying the currents and fishing in an ocean of data
1267;Consistent Process Mining Over Big Data Triple Stores
1268;Optimizing the Leveraging of Real-World Data to Improve the Development and Use of Medicines
1269;An Extension Collaborative Innovation Model in the Context of Big Data
1270;IBM Streams Processing Language: Analyzing Big Data in motion
1271;Trends in big data analytics
1272;P4 medicine: how systems medicine will transform the healthcare sector and society
1273;ANN Multiscale Model of Anti-HIV Drugs Activity vs AIDS Prevalence in the US at County Level Based on Information Indices of Molecular Graphs and Social Networks
1274;An Integrated Framework for Disaster Event Analysis in Big Data Environments
1275;Complex Statistical Analysis of Big Data: Implementation and Application of Apriori and FP-Growth Algorithm Based on MapReduce
1276;"""Big Data"" in the Intensive Care Unit Closing the Data Loop"
1277;COMBAT: mobile-Cloud-based cOmpute/coMmunications infrastructure for BATtlefield applications
1278;Big data for Natural Language Processing: A streaming approach
1279;A Data Quality in Use Model for Big Data
1280;A scalable framework for spatiotemporal analysis of location-based social media data
1281;Reducing the Search Space for Big Data Mining for Interesting Patterns from Uncertain Data
1282;'Big data' from shrinking pathogen populations
1283;Open-Access Databases as Unprecedented Resources and Drivers of Cultural Change in Fisheries Science
1284;Evaluation of Prompted Annotation of Activity Data Recorded from a Smart Phone
1285;Data Mining with Big Data
1286;Monitoring infectious diseases in the big data era
1287;Monitoring and Detection of Agitation in Dementia Towards Real-Time and Big-Data Solutions
1288;Querying Big Data: Bridging Theory and Practice
1289;The Parable of Google Flu: Traps in Big Data Analysis
1290;Unstructured Data Extraction in Distributed NoSQL
1291;FSBD: A Framework for Scheduling of Big Data Mining in Cloud Computing
1292;Parallelization with Multiplicative Algorithms for Big Data Mining
1293;PREDICTIVE ANALYTICS WITH AVIATION BIG DATA
1294;The Research on Information Collection and Retrieval Technology of Big Data based Cloud Computing
1295;Big Data Provenance: Challenges and Implications for Benchmarking
1296;Elastic Algorithms for Guaranteeing Quality Monotonicity in Big Data Mining
1297;OMICS Studies: How about Metadata Checklist and Data Publications?
1298;Stream Processing of Scientific Big Data on Heterogeneous Platforms - Image Analytics on Big Data in Motion
1299;The cultural environment: measuring culture with big data
1300;Performance and Energy Optimization of the Terasort Algorithm by Task Self-Resizing
1301;A weighted kernel possibilistic c-means algorithm based on cloud computing for clustering big data
1302;p-PIC: Parallel power iteration clustering for big data
1303;A New ETL Approach Based on Data Virtualization
1304;The Study of Power System Protection Based on Big Data Technologies
1305;Bringing Big Data to Personalized Healthcare: A Patient-Centered Framework
1306;NoSQL Database: A Scalable, Availability, High Performance Storage for Big Data
1307;Big Data Investment, Skills, and Firm Value
1308;BUSINESS INTELLIGENCE AND ANALYTICS: FROM BIG DATA TO BIG IMPACT
1309;An Incremental and Distributed Inference Method for Large-Scale Ontologies Based on MapReduce Paradigm
1310;Mining the Maximum Conserved Functional Module from the Alignment of Pairwise Protein Interaction Networks
1311;An analysis of performance factors on Esper-based stream big data processing in a virtualized environment
1312;Development of a Semi-Synthetic Dataset as a Testbed for Big-Data Semantic Analytics
1313;A Framework to Model Big Data Driven Complex Cyber Physical Control System
1314;Productivity frameworks in big data image processing computations - creating photographic mosaics with Hadoop and Scalding
1315;Sustaining Computer's Impact and Adapting to Change
1316;CAMPUS JOB SUPPLIERS' PREFERRED PERSONALITY TRAITS OF CHINESE GRADUATES: A GROUNDED THEORY INVESTIGATION
1317;Semantic Processing on Big Data
1318;Early Prediction of Movie Box Office Success Based on Wikipedia Activity Big Data
1319;Entertainment in the Age of Big Data
1320;The Knowledge Management Context of Cloud Based big Data Analytics
1321;Intelligent services for Big Data science
1322;Heading Towards Big Data Building A Better Data Warehouse For More Data, More Speed, And More Users
1323;Big Data, Big Challenges
1324;Big Data and Big Brother - what if they met? On a neglected political dimension of technologies of control and surveillance in the research on acceptance
1325;Big Data Framework for National e-Governance Plan
1326;DIFTSAS: a DIstributed Full Text Search and Analysis System for Big Data
1327;Integrated Data Flow Delivery with Built-in Mass Storage
1328;The evolution of cancer registration
1329;Large-scale incremental processing with MapReduce
1330;Big Data Framework
1331;The anesthesia team of the future
1332;Land use changes modelling using advanced methods: Cellular automata and artificial neural networks. The spatial and explicit representation of land cover dynamics at the cross-border region scale
1333;An Efficient Patent Storing Mechanism Based on SQLite on Hadoop Platform
1334;Constructing E-Tourism Platform Based on Service Value Broker: A Knowledge Management Perspective
1335;Terabyte-sized Image Computations on Hadoop Cluster Platforms
1336;Breaking the Arc: Risk Control for Big Data
1337;Economics in the age of big data
1338;A unified scheme for generalizing cardinality estimators to sum aggregation
1339;CRAIS: A Crossbar-Based Interconnection Scheme on FPGA for Big Data
1340;"""Big data"" in macroeconomic forecasting: On the usefulness of knowledge discovery in databases"
1341;Addressing Big Data Issues in Scientific Data Infrastructure
1342;Establishing Private Social Media Networking Platform for Socio-political Organizations (Facilitating Communities Portals at Internet II)
1343;"Learning to reason from samples: commentary from the perspectives of task design and the emergence of ""big data"""
1344;The Power of the Story in an Era of Big Data and Huge Databases
1345;Bigger sociological imaginations: framing big social data theory and methods
1346;Privacy and human behavior in the age of information
1347;Open data and open code for big science of science studies
1348;Rational experiment design for sequencing-based RNA structure mapping
1349;Deep Data Analysis of Conductive Phenomena on Complex Oxide Interfaces: Physics from Data Mining
1350;Towards valid estimates of activity energy expenditure using an accelerometer: searching for a proper analytical strategy and big data
1351;An Iterative Hierarchical Key Exchange Scheme for Secure Scheduling of Big Data Applications in Cloud Computing
1352;An Improved BP Algorithm over Out-of-order Streams for Big Data
1353;Research on Algorithm Recommended by Online Education for Big Data
1354;Big Data as the Universal Language for Barrett's Esophagus
1355;Holographic Data Storage: Science Fiction or Science Fact
1356;Accelerating Frequent Itemsets Mining on the Cloud: A Map Reduce -Based Approach
1357;Combining Top-Down and Bottom-Up: Scalable Sub-Tree Anonymization over Big Data using MapReduce on Cloud
1358;Some experiences and opportunities for big data in translational research
1359;A spatiotemporal compression based approach for efficient big data processing on Cloud
1360;Opportunities and Challenges Provided by Cloud Repositories for Bioinformatics-Enabled Drug Discovery
1361;Academic Publishing as a Social Media Paradigm
1362;Big data and other challenges in the quest for orthologs
1363;Strategic alignment of Cloud-based Architectures for Big Data
1364;The Knowledge Service Project in the Era of Big Data
1365;Digging into Human Rights Violations: Data modelling and collective memory
1366;Effect of Data Repair on Mining Network Streams
1367;Application of Big Data in Environmental Monitoring
1368;GrandLand Traffic Data Processing Platform
1369;Robot: An Efficient Model For Big Data Storage Systems Based On Erasure Coding
1370;Online Feature Selection and Its Applications
1371;Scalable Genomics with R and Bioconductor
1372;The Person-Event Data Environment: leveraging big data for studies of psychological strengths in soldiers
1373;Big Data in Food Safety and Quality
1374;Enterprise Innovation and Management Research in the Era of Big Data
1375;Coordinated Control of Traffic Flow in Complex-Arterial Networks Under The Big Data Background
1376;Unstructured Text Analytics to Support New Product Development Decisions
1377;Citizen Science: A Tool for Integrating Studies of Human and Natural Systems
1378;High Performance Numerical Computing for High Energy Physics: A New Challenge for Big Data Science
1379;MapReduce: Limitations, Optimizations and Open Issues
1380;Discovery and Analysis of Usage Data Based on Hadoop for Personalized Information Access
1381;Access Control for Big Data using Data Content
1382;Topic Detection based on Group Average Hierarchical Clustering
1383;The Implications of Diverse Applications and Scalable Data Sets in Benchmarking Big Data Systems
1384;Big Data in Life Cycle Assessment
1385;An Efficient OLAP Query Algorithm Based on Dimension Hierarchical Encoding Storage and Shark
1386;Big Data Exploration through Visual Analytics
1387;Managing Web 2.0 Content
1388;Framework for Handling Personal Data Proposed System of the Self-Control on Buying Information
1389;BigObject Store: In-Place Computing for Interactive Analytics
1390;Mining Websites Preferences on Web Events in Big Data Environment
1391;An Overview of Cloud Middleware Services for Interconnection of Healthcare Platforms
1392;Mapping the data shadows of Hurricane Sandy: Uncovering the sociospatial dimensions of 'big data'
1393;Urban activity pattern classification using topic models from online geo-location data
1394;From human mobility to renewable energies Big data analysis to approach worldwide multiscale phenomena
1395;The implications of big data for developing and transitional economies: Extending the Triple Helix?
1396;The Factory Integration Roadmap in Semiconductor Manufacturing
1397;Beyond visualization of big data: a multi-stage data exploration approach using visualization, sonification, and storification
1398;Big Science and Big Data in Biology: From the International Geophysical Year through the International Biological Program to the Long Term Ecological Research (LTER) Network, 1957-Present
1399;A distributed data storage and processing framework for next-generation residential distribution systems
1400;Big data mining yields novel insights on cancer
1401;Framework and implementation of a continuous network-wide health monitoring system for roadways
1402;HDStore: An SSD/HDD Hybrid Distributed Storage Scheme for Large-Scale Data
1403;Discovering New Analytical Methods for Large Volume Medical and Online Data Processing
1404;Big Data Challenges A Program Optimization Perspective
1405;Utilizing Web Data in Identification and Correction of OCR Errors
1406;Parallel Programming Paradigms and Frameworks in Big Data Era
1407;A novel approach for multi-domain and multi-gene family identification provides insights into evolutionary dynamics of disease resistance genes in core eudicot plants
1408;A SPLIT-AND-CONQUER APPROACH FOR ANALYSIS OF EXTRAORDINARILY LARGE DATA
1409;On the Possibility of Instance-Based Stroke Recovery
1410;Sentimental Space based Analysis of User Personalized Sentiments
1411;Distributed Column Subset Selection on MapReduce
1412;Theoretical analysis of constructing wavelet synopsis on partitioned data sets
1413;An Integrated System for Regional Environmental Monitoring and Management Based on Internet of Things
1414;Toward a Trend-Based Web Page Rank by Using Big Data on Smartphones
1415;Data Management - A Look Back and a Look Ahead
1416;Geodemographics and the practices of geographic information science
1417;Survey on the Applications of Big Data in Chinese Real Estate Enterprise
1418;Dimension Reduction for p53 Protein Recognition by Using Incremental Partial Least Squares
1419;Beyond the geotag: situating 'big data' and leveraging the potential of the geoweb
1420;Data Migration Ecosystem for Big Data Invited Paper
1421;"Fast Transient Detection as a Prototypical ""Big Data"" Problem"
1422;Big Data and Ecosystem Research Programmes
1423;Stochastic Approximation vis-a-vis Online Learning for Big Data Analytics
1424;A Research On Development Mode Innovation Of Digital PublishingIndustry In The Age Of Big Data
1425;What Can 1 Billion Trials Tell Us About Visual Search?
1426;Tuple MapReduce: Beyond classic MapReduce
1427;Preparing to Work with Big Data in Proteomics - A Report on the HUPO-PSI Spring Workshop April 15-17, 2013, Liverpool, UK
1428;Towards a Novel Model for Distributed Big Data Service Composition using Functional Graph Matching
1429;The Adaptive Teaching in the Setting of Big Data
1430;Big data and NoSQL with Amazon DynamoDB
1431;Critical questions for big data - Provocations for a cultural, technological, and scholarly phenomenon
1432;Tools to Accelerate Population Science and Disease Control Research
1433;Real-time detection of anomalous power consumption
1434;Cloud Service Platform For Big Data Of Manufacturing
1435;Big data technologies for image retrieval and analysis in web environments
1436;"Pattern Recognition in Latin America in the ""Big Data"" Era"
1437;Key Recovery Using Noised Secret Sharing with Discounts Over Large Clouds
1438;Towards Semantic Mashup Tools for Big Data Analysis
1439;Cross-Cultural Comparison of Nonverbal Cues in Emoticons on Twitter: Evidence from Big Data Analysis
1440;Multilevel Active Storage for Big Data Applications in High Performance Computing
1441;Reduction of Association Rules for Big Data Sets in Socially-Aware Computing
1442;Echo Chamber or Public Sphere? Predicting Political Orientation and Measuring Political Homophily in Twitter Using Big Data
1443;Clinical Social Networking-A New Revolution in Provider Communication and Delivery of Clinical Information across Providers of Care?
1444;Making it big in allergy
1445;Ophidia: toward big data analytics for eScience
1446;Big data and the future of ecology
1447;Affective neural networks and cognitive learning systems for big data analysis
1448;Mining Marketing Meaning from Online Chatter: Strategic Brand Analysis of Big Data Using Latent Dirichlet Allocation
1449;Benchmarking Performance for Migrating a Relational Application to a Parallel Implementation
1450;Big Data, Data Science, and Analytics: The Opportunity and Challenge for IS Research
1451;"Entering the Era of ""Big Data"": Getting Our Metrics Right Commentary on: Malhotra et al. Performance of an automated polysomnography scoring system versus computer-assisted manual scoring. SLEEP 2013;36:573-582. Kuna et al. Agreement in computer-assisted manual scoring of polysomnograms across sleep centers. SLEEP 2013;36:583-589. Magalang et al. Agreement in the scoring of respiratory events and sleep among international sleep centers. SLEEP 2013;36:591-596."
1452;Risk Adjustment of Patient Expenditures: A Big Data Analytics Approach
1453;Big Data - A Chance to Change the Academic Scene?
1454;Big Data and the 21(st) Century Church
1455;A self-adaptive scheduling algorithm for reduce start time
1456;ALZHEIMER'S DISEASE From big data to mechanism
1457;The perfect neuroimaging-genetics-computation storm: collision of petabytes of data, millions of hardware devices and thousands of software tools
1458;NilmDB: The Non-Intrusive Load Monitor Database
1459;A Workflow Application for Parallel Processing of Big Data from an Internet Portal
1460;Data Science, Predictive Analytics, and Big Data in Supply Chain Management: Current State and Future Potential
1461;Fast Data Analysis with Integrated Statistical Metadata in Scientific Datasets
1462;Particle Swarm Optimization based dictionary learning for remote sensing big data
1463;"Speech Recognition and Spoken Language Understanding for Mobile Personal Assistants: a Case Study of ""Shabette Concier"""
1464;A Hierarchical Clustering Method For Big Data Oriented Ciphertext Search
1465;Attribute Relationship Evaluation Methodology for Big Data Security
1466;Exploring Sketches for Probability Estimation with Sublinear Memory
1467;The relationship between self-report of depression and media usage
1468;An effective and economical architecture for semantic-based heterogeneous multimedia big data retrieval
1469;Benchmarking Spatial Big Data
1470;PROBING OF GEOSPATIAL STREAM DATA TO REPORT DISORIENTATION
1471;Extracting main content of a topic on online social network by multi-document summarization
1472;Improving Data Analysis Performance for High-Performance Computing with Integrating Statistical Metadata in Scientific Datasets
1473;Parallel processing of large graphs
1474;A Cloud Service For End-user Participation Concerning The Internet Of Things
1475;Big Data Collection Gateway for Vision-based Smart Meter Reading Network
1476;Correlational Effect Size Benchmarks
1477;Big Impact through Big Data: Potential of Big Data in the Indian Public Sector
1478;Robot Service Framework Based on Big Data Technology
1479;Personal Healthcare System Using Cloud Computing
1480;The possibility of using search traffic information to explore consumer product attitudes and forecast consumer preference
1481;Blending SQL and NewSQL Approaches Reference Architectures for Enterprise Big Data Challenges
1482;Secure and Controlled Sharing of Data in Distributed Computing
1483;Artificial Intelligence in Medicine and Cardiac Imaging: Harnessing Big Data and Advanced Computing to Provide Personalized Medical Diagnosis and Treatment
1484;VegaIndexer: A Distributed Composite Index Scheme for Big Spatio-Temporal Sensor Data on Cloud
1485;Collaborative Biomedicine in the Age of Big Data: The Case of Cancer
1486;Cloud-based adaptive compression and secure management services for 3D healthcare data
1487;BIG DATA AND PUBLIC HEALTH: NAVIGATING PRIVACY LAWS TO MAXIMIZE POTENTIAL
1488;Difference or Disparity Will Big Data Improve Our Understanding of Sex and Cardiovascular Disease?
1489;K%-Fair Scheduling: A Flexible Task Scheduling Strategy for Balancing Fairness and Efficiency in MapReduce Systems
1490;Parallel sampling from big data with uncertainty distribution
1491;SciHive: Array-based query processing with HiveQL
1492;Beyond sharing: cultivating cooperative transportation systems through geographic information science
1493;CLOUDY CLOUDS
1494;Towards Network Reduction on Big Data
1495;Design and implementation of task scheduling strategies for massive remote sensing data processing across multiple data centers
1496;Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014)
1497;Big Data Applications Using Workflows for Data Parallel Computing
1498;Business Model Canvas Perspective on Big Data Applications
1499;A High-performance Tiered Storage System for a Global Spectrum Observatory Network
1500;Big data and its challenges
1501;MRPR: A Map Reduce solution for prototype reduction in big data classification
1502;Locality-driven High-level I/O Aggregation for Processing Scientific Datasets
1503;High performance data management and analysis for tomography
1504;Big Data - and its contributions to pen-operative medicine
1505;Operator Scale Out Using Time Utility Function in Big Data Stream Processing
1506;Semantic Web technologies for the big data in life sciences
1507;Behavior scoring model for coalition loyalty programs by using summary variables of transaction data
1508;Bayesian Spatial Transformation Models with Applications in Neuroimaging Data
1509;Comparison of the Efficiency of MapReduce and Bulk Synchronous Parallel Approaches to Large Network Processing
1510;Efficient Data Transfer Protocols for Big Data
1511;Empirical Innovations in Policy Analysis
1512;Predictive analytics model for power consumption in manufacturing
1513;"Big Data Meets the Electronic Medical Record A Commentary on ""Identifying Patients at Increased Risk for Unplanned Readmission"""
1514;Context Matters: Improving the Uses of Big Data for Forecasting Civil Unrest Emerging Phenomena and Big Data
1515;Big data: The future of biocuration
1516;Optimizing Database Load and Extract for Big Data Era
1517;COMPUTING PERSISTENT FEATURES IN BIG DATA: A DISTRIBUTED DIMENSION REDUCTION APPROACH
1518;IT-Related Service: A Multidisciplinary Perspective
1519;Investigative Response Modeling and Predictive Data Collection
1520;MorphStore: A Local File System for Big Data with Utility-driven Replication and Load-adaptive Access Scheduling
1521;From Technological Networks to Social Networks
1522;Trade-Offs, Limitations, and Promises of Big Data in Social Science Research
1523;Metadata and Annotations for Multi-scale Electrophysiological Data
1524;Reflection on Quality Assurance System of Higher Vocational Education under Big Data Era
1525;Accidental, open and everywhere: Emerging data sources for the understanding of cities
1526;A Look at Challenges and Opportunities of Big Data Analytics in Healthcare
1527;Design and Development of a Medical Big Data Processing System Based on Hadoop
1528;WHY NOT ONE BIG DATABASE - PRINCIPLES FOR DATA OWNERSHIP
1529;Reassembling Social Science Methods: The Challenge of Digital Devices
1530;Metaphors of Big Data
1531;Big Data: A Framework For Research
1532;Investigating the integrated landscape of the intellectual topology of bioinformatics
1533;From social data mining to forecasting socio-economic crises
1534;RiceWiki: a wiki-based database for community curation of rice genes
1535;Integration of interactive, multi-scale network navigation approach with Cytoscape for functional genomics in the big data era
1536;Feasibility Considerations of Multipath TCP in Dealing with Big Data Application
1537;Getting Out of a Spot: Deployed Technologies and Revamped Codes for a Thriving Twenty-First-Century City
1538;Crowd explicit sentiment analysis
1539;"Where Chemical Sensors May Assist in Clinical Diagnosis Exploring ""Big Data"""
1540;Big Data Mining or Turning Data Mining into Predictive Analytics from Large-Scale 3Vs Data: The Future Challenge for Knowledge Discovery
1541;Challenges of Privacy Protection in Big Data Analytics
1542;KASR: A Keyword-Aware Service Recommendation Method on MapReduce for Big Data Applications
1543;Biocuration and biodiversity: process, successes, failures, solutions and perspectives
1544;Tackling the Big Data 4 Vs for Anomaly Detection
1545;Logical Push Framework for Real-time SNS Processing
1546;Challenges for implementing next-generation sequencing-based genome diagnostics: Its also the people, not just the machines
1547;Predictive analytics with aviation big data
1548;Big data: Large-scale historical infrastructure from the Minnesota Population Center
1549;Fitting the problem to the paradigm: Algorithm characteristics required for effective use of mapreduce
1550;Performance analysis of MapReduce-based distributed systems for iterative data processing applications
1551;New driving forces of network science: Big data and crowd sourcing
1552;Out of the box - quantum information: Releasing the information from books
1553;Level-wise exploration of linked and big data guided by controlled vocabularies and folksonomies
1554;Terms extraction from unstructured data silos
1555;From data to decisions: A value chain for big data
1556;Investigative response modeling and predictive data collection
1557;Research on cloud computing based data processing for financial terminal equipment
1558;A kind of memory database engine based on column-storage techniques
1559;The core GIS incompetencies: Identity, gender, big data, and ineptness in the cloud
1560;Cloud service platform for big data of manufacturing
1561;A comparative study of enterprise and open source big data analytical tools
1562;Best-fit mobile recharge pack recommendation
1563;A comparative study of the semi-elastic and fully-elastic mapreduce models
1564;Dependent cloud data placement on geo-datacenters
1565;Making web-scale semantic reasoning more service-oriented: The large knowledge collider
1566;Scalable sentiment classification for Big Data analysis using Naive Bayes Classifier
1567;"Agile visual analytics for banking cyber ""big data"""
1568;Big data and e-government: Issues, policies, and recommendations
1569;The most advanced data mining of the big data era
1570;A look at challenges and opportunities of Big Data analytics in healthcare
1571;Automatic hypothesis checking using escience research infrastructures, ontologies, and linked data: A case study in climate change research
1572;Efficient join query processing algorithm CHMJ based on hadoop
1573;CloST: A hadoop-based storage system for big spatio-temporal data analytics
1574;RSenter: Terms mining tool from unstructured data sources
1575;The experience of NoSQL database in telecommunication enterprise
1576;Contradiction detection between opinions: From a big data perspective
1577;A multidimensional data model for TPC-DS benchmarking
1578;Influence factor based opinion mining of Twitter data using supervised learning
1579;Using pattern-models to guide SSD deployment for Big Data applications in HPC systems
1580;Performance evaluation for efficient complex event processing system according to event types and environment
1581;MaRDiGraS: Simplified building of reachability graphs on large clusters
1582;Hash match on GPU
1583;The digital universe - An information theoretical analyses
1584;Multilayer optical storage for big data center: By pre-layered scheme
1585;Benchmarking spatial big data
1586;M2M and big data to realize the smart city
1587;Academic publishing as a social media paradigm
1588;Challenges in heterogeneous web data analytics-case finnish growth companies in social media
1589;Bibliometrical analysis on the big data research in China
1590;The knowledge service project in the era of big data
1591;Survey of research on big data storage
1592;Sustainable development, big data and supervisory control: Service quality in banking sector
1593;Countering the concept-drift problem in big data using iOVFDT
1594;Fast attribute-based table clustering using Predicate-Trees: A vertical data mining approach
1595;Minerva: Accelerating data analysis in next-generation SSDs
1596;Social awareness computation methods for location based services
1597;Research on encoding transmission of big data file
1598;A web-based solution to collect, manage and analyse Auditory Brainstem Response data
1599;Informational Facts and the Metainformation Inherent in IFacts: The Soul of Data Sciences
1600;Music interaction research in HCI: Let's get the band back together
1601;Large-capacity, high-reliability grid storage: IStorage HS series (HYDRAstor)
1602;Privacy and security in cyberspace: Training perspectives on the personal data ecosystem
1603;Collecting big datasets of human activity one checkin at a time
1604;Benchmarking and analyzing the energy consumption of cloud data management system
1605;Out of the box: Information morality - reasonable doubt
1606;Strategy study on China E-business service in big data era
1607;The performance of MapReduce over the varying nature of data
1608;Corporate governance of big data: Perspectives on value, risk, and cost
1609;A high-speed index for the multi-scale overlay landscape map on ubiquitous WebGIS
1610;"Possibility of analysis of ""big data"" of Kabuki play in 19th century using the mathematical model of hit phenomena"
1611;Big argumentation?
1612;A successful application of big data storage techniques implemented to criminal investigation for telecom
1613;The neuviz data visualization tool for visualizing internet-measurements data
1614;Exploiting big data for enhanced representations in content-based recommender systems
1615;Leveraging big data analytics to reduce healthcare costs
1616;Efficiently Extracting Change Data from Column Oriented NoSQL Databases
1617;New landscape of data management technologies
1618;Data-intensive science and engineering: Requirements and challenges
1619;Library and information science in the Big Data era: Funding, projects, and future [a panel proposal]
1620;Smart-contents visualization of publishing big data using NFC technology
1621;Efficient anomaly detection in dynamic, attributed graphs: Emerging phenomena and big data
1622;Making use of the big data: Next generation of algorithm trading
1623;2nd workshop on research in the large. Using app stores, wide distribution channels and big data in ubicomp research
1624;Survey on NoSQL database
1625;Helping Protists to find their place in a big data world
1626;CroTIS-crowdsourcing based traffic information system
1627;Distributed file management system based on SSH2 and HDFS
1628;S2MART: Smart Sql to map-reduce translators
1629;"Modeling of system of systems via data analytics - Case for ""big data"" in SoS"
1630;Business process analytics using a big data approach
1631;A high performance web-based system for analyzing and visualizing spatiotemporal data for climate studies
1632;Map/reduce on EMF models
1633;Scalable interaction design for collaborative visual exploration of big data
1634;Big data application technology: An overview
1635;Estimating building simulation parameters via Bayesian structure learning
1636;Constructing E-Tourism platform based on service value broker: A knowledge management perspective
1637;Multiple self-controlled case series for large-scale longitudinal observational databases
1638;GPGPU-accelerated interesting interval discovery and other computations on GeoSpatial datasets - A summary of results
1639;Throat polyp detection based on compressed big data of voice with support vector machine algorithm Sparse Sensing in Radar and Sonar Signal Processing
1640;Aggrandizing Hadoop in terms of node Heterogeneity & Data Locality
1641;Integrate enterprise systems to our hyperconnected world: Anything, anywhere, anytime through architectural design
1642;An improved BP algorithm over out-of-order streams for big data
1643;On mixing high-speed updates and in-memory queries: A big-data architecture for real-time analytics
1644;Big data on small screens
1645;Monitoring and detection of agitation in dementia: Towards real-time and big-data solutions
1646;On a generalized approach to order-independent image composition in parallel visualization
1647;Incrementally optimized decision tree for noisy big data
1648;Minimum storage BASIC codes: A system perspective
1649;Features of the next-generation traffic control system as seen in an introductory example at the Shin-Tomei Expressway
1650;Reliability meets big data: Opportunities and challenges
1651;Collecting vertical trace data: Big possibilities and big challenges for multi-method research
1652;Data mining in cancer registries: A case for design studies
1653;Based on big data management research automobile clutch release bearing bdevelopment system
1654;Scalable text classification with sparse generative modeling
1655;The data partition strategy based on hybrid range consistent hash in NoSQL database
1656;A fast and simple method for mining subsequences with surprising event counts
1657;Location: A feature for service selection in the era of big data
1658;Big data framework for national E-governance plan
1659;An event-based service for sensing data provisioning in the cloud
1660;Multi-query unification for generating efficient big data processing components from a DFD
1661;Digital magazines: The future of publishing is here
1662;Data mashups: Potential contribution to decision support on climate change and health
1663;Natural Language processing and big data: An ontology-based approach for Cross-Lingual Information Retrieval
1664;Digging into human rights violations: Data modelling and collective memory
1665;Visualization and rhetoric: Key concerns for utilizing big data in humanities research: A case study of vaccination discourses: 1918-1919
1666;What you don't know about your (Big) data can hurt you
1667;Overcoming large data transfer bottlenecks in RESTful service orchestrations
1668;EEGVIS: A MATLAB toolbox for browsing, exploring, and viewing large datasets
1669;Big mobile data mining: Good or evil?
1670;Exploring the use of large clinical data to inform patients for shared decision making
1671;Complex statistical analysis of big data: Implementation and application of apriori and FP-growth algorithm based on MapReduce
1672;Humanities 'big data': Myths, challenges, and lessons
1673;Game theory applied to big data analytics in geosciences and remote sensing
1674;Navigating big data with high-throughput, energy-efficient data partitioning
1675;Querying big data
1676;"Research on traffic management-oriented ""Big data"" and its application"
1677;Study for performance improvement of parallel process according to analysis of Hadoop
1678;Cloud computing for improved healthcare: Techniques, potential and challenges
1679;Big data networking at fermilab
1680;Power grid time series data analysis with pig on a Hadoop cluster compared to multi core systems
1681;Research on classification and redundant information filtering of massive data in big database
1682;Big data processing: Big challenges
1683;Predictive analytics with surveillance big data
1684;A big data implementation based on grid computing
1685;An important aspect of big data: Data usability
1686;Complete storm identification algorithms from big raw rainfall data using MapReduce framework
1687;Public policy considerations for data-driven innovation
1688;Data curation framework for facilities science
1689;A novel integrated method for human multiplex protein subcellular localization prediction
1690;Report from the 6th workshop on extremely large databases
1691;MapReduce based method for big data semantic clustering
1692;Data mining for official statistics: Challenges and opportunities
1693;BDMS performance evaluation: Practices, pitfalls, and possibilities
1694;Asynchronous object storage with QoS for scientific and commercial big data
1695;IBigTable: Practical data integrity for bigtable in public cloud
1696;Big data's risks and opportunities for ICT agriculture
1697;PIFCard: A high performance flash card matching the parallelism and latency of NAND flash with those of PCI-E interface
1698;Characterizing the efficiency of data deduplication for big data storage management
1699;A Big Data approach for a new ICT agriculture application development
1700;IoT-SVKSearch: A real-time multimodal search engine mechanism for the internet of things
1701;A study on cloud database
1702;High performance and high availability archived stream system for big data
1703;On the use of participatory sensing to better understand city dynamics
1704;Enter the data scientist
1705;Big data: Issues, challenges, tools and Good practices
1706;IT architecture of multiple heterogeneous data
1707;Research on datacenters energy of big data environment
1708;Matrix-value regression for single-image super-resolution
1709;Efficient large graph pattern mining for big data in the cloud
1710;Beyond visualization of big data: A multi-stage data exploration approach using visualization, sonification, and storification
1711;New database architectures: Steps towards big data processing
1712;Distributed stochastic aware random forests - Efficient data mining for big data
1713;L.K-prototypes: An improved K-prototypes algorithm used for hybrid data clustering
1714;A big data model supporting information recommendation in social networks
1715;Managing data and processes in cloud-enabled large-scale sensor networks: State-of-the-art and future research directions
1716;Improving data analysis performance for high-performance computing with integrating statistical metadata in scientific datasets
1717;Characterizing service providers traffic of mobile internet services in cellular data network
1718;Hierarchical I/O scheduling for collective I/O
1719;Towards machine learning-based auto-tuning of MapReduce
1720;Corporate reputation in the age of data nudity
1721;Knowledge harvesting in the big-data era
1722;Research on key technologies of cloud storage based on InfiniBand
1723;Predicting personality using novel mobile phone-based metrics
1724;Supporting scholarly awareness and researchers social interactions using pushpin
1725;Use of big data and knowledge discovery to create data backbones for decision support systems
1726;Growth share
1727;Visual analytics for big data using R
1728;Advancing biomarker research: Utilizing 'Big Data' approaches for the characterization and prevention of bipolar disorder
1729;Where SOA meets the semantic reasoning
1730;Finding the needle in the big data systems haystack
1731;From big data to insights: Opportunities and challenges for TEI in genomics
1732;A framework for learning about big data with mobile technologies for democratic participation: Possibilities, limitations, and unanticipated obstacles
